price,wheelbase,curbweight,enginesize,boreratio,horsepower,carlength,carwidth,gas,turbo,hardtop,hatchback,sedan,wagon,fwd,rwd,dohcv,l,ohc,ohcf,ohcv,rotor,five,four,six,three,twelve,two,Medium,Highend
18344,104.9,2700,134,3.43,72,175.0,66.1,False,False,False,False,True,False,False,True,False,False,True,False,False,False,False,True,False,False,False,False,True,False
15580,107.9,3075,120,3.46,95,186.7,68.4,True,False,False,False,True,False,False,True,False,True,False,False,False,False,False,True,False,False,False,False,True,False
6918,95.7,2280,92,3.05,62,169.7,63.6,True,False,False,False,False,True,True,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False
7499,94.5,1971,97,3.15,69,165.3,63.8,True,False,False,False,True,False,True,False,False,False,True,False,False,False,False,True,False,False,False,False,True,False
9095,96.5,2289,110,3.15,86,167.5,65.2,True,False,False,True,False,False,True,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False
6229,93.7,1967,90,2.97,68,157.3,63.8,True,False,False,True,False,False,True,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False
7053,93.7,2120,108,3.62,73,157.9,63.6,True,False,False,True,False,False,True,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False
16900,107.9,3252,152,3.7,95,186.7,68.4,False,True,False,False,True,False,False,True,False,True,False,False,False,False,False,True,False,False,False,False,True,False
12964,95.9,2811,156,3.6,145,173.2,66.3,True,True,False,True,False,False,True,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False
6295,94.5,1874,90,3.03,70,155.9,63.6,True,False,False,True,False,False,True,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False
16558,102.9,2976,171,3.27,161,183.5,67.7,True,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False
7099,94.5,2017,103,2.99,55,165.3,63.8,False,False,False,False,True,False,True,False,False,False,True,False,False,False,False,True,False,False,False,False,True,False
8948,102.4,2326,122,3.31,92,175.6,66.5,True,False,False,False,True,False,True,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False
7349,94.5,2024,97,3.15,69,170.2,63.8,True,False,False,False,False,True,True,False,False,False,True,False,False,False,False,True,False,False,False,False,True,False
15250,99.8,2507,136,3.19,110,177.3,66.3,True,False,False,False,True,False,True,False,False,False,True,False,False,False,True,False,False,False,False,False,True,False
8449,98.4,2540,146,3.62,116,176.2,65.6,True,False,True,False,False,False,False,True,False,False,True,False,False,False,False,True,False,False,False,False,False,False
11845,95.3,2380,70,3.33,101,169.0,65.7,True,False,False,True,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,True,True,False
37028,89.5,2800,194,3.74,207,168.9,65.0,True,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,True,False,False,False,False,True
